epoch,train_loss,train_mse,train_rmse,val_loss,val_mse,val_rmse
1,290.9074449931106,290.9074449931106,17.032813713913345,275.7204,275.7204,16.5966
2,266.5677544580747,266.5677544580747,16.30921982167424,255.1110,255.1110,15.9643
3,247.55033456462704,247.55033456462704,15.714275028142405,238.0329,238.0329,15.4213
4,227.38886856706176,227.38886856706176,15.060099204427086,219.2065,219.2065,14.7981
5,207.23294046480362,207.23294046480362,14.37937155865515,198.7992,198.7992,14.0912
6,187.6560275979238,187.6560275979238,13.678945052304371,186.8936,186.8936,13.6652
7,169.34354996354614,169.34354996354614,12.9966910565858,163.1846,163.1846,12.7662
8,150.90303311282642,150.90303311282642,12.260849842816041,138.2267,138.2267,11.7514
9,132.67375350325074,132.67375350325074,11.497430446758798,128.8189,128.8189,11.3420
10,116.5401935316112,116.5401935316112,10.772993880882195,108.4607,108.4607,10.4067
11,101.9873139890906,101.9873139890906,10.07326542028302,95.5125,95.5125,9.7621
12,89.62698886819082,89.62698886819082,9.447383719430778,83.4219,83.4219,9.1230
13,76.60914298279644,76.60914298279644,8.730412007296456,69.0534,69.0534,8.3003
14,65.96451840335375,65.96451840335375,8.09919010707579,59.6248,59.6248,7.7080
15,53.97340299005378,53.97340299005378,7.316708655203715,50.9746,50.9746,7.1205
16,45.706483527405624,45.706483527405624,6.73251933257209,38.9844,38.9844,6.2385
17,39.76452372825309,39.76452372825309,6.2826856082495715,37.6900,37.6900,6.1260
18,35.54573518935948,35.54573518935948,5.933500485332484,34.9200,34.9200,5.8908
19,31.61410880415407,31.61410880415407,5.594268023736258,25.4949,25.4949,5.0334
20,27.252123662870225,27.252123662870225,5.18974414814344,27.7277,27.7277,5.2247
21,26.600018984650912,26.600018984650912,5.130050245599368,23.5000,23.5000,4.8353
22,23.678823314300956,23.678823314300956,4.836246927887119,20.9762,20.9762,4.5618
23,21.202736109903412,21.202736109903412,4.5809288936837875,17.5085,17.5085,4.1643
24,20.606943809822813,20.606943809822813,4.510604450210378,17.3278,17.3278,4.1510
25,19.32308526235084,19.32308526235084,4.3707144195004775,16.3933,16.3933,4.0259
26,18.78609721301353,18.78609721301353,4.303886007151507,20.1951,20.1951,4.4236
27,18.83036103967118,18.83036103967118,4.315742875707167,15.1022,15.1022,3.8734
28,17.554872290728845,17.554872290728845,4.1696294396784195,14.9483,14.9483,3.8312
29,16.621299142706885,16.621299142706885,4.054071665938961,14.4806,14.4806,3.7976
30,20.552892606552334,20.552892606552334,4.493858332172381,24.0642,24.0642,4.8033
31,21.934753600865193,21.934753600865193,4.634904489967433,20.2853,20.2853,4.4495
32,19.465165085988502,19.465165085988502,4.3763269380495755,21.4867,21.4867,4.5691
33,18.352370262145996,18.352370262145996,4.246720086221596,16.2956,16.2956,4.0015
34,18.72262169563607,18.72262169563607,4.275320136725709,19.3656,19.3656,4.3681
35,18.739338887880926,18.739338887880926,4.293237961117449,17.6324,17.6324,4.1600
36,18.905819696922826,18.905819696922826,4.315189606617194,16.1330,16.1330,3.9874
37,18.244244275027757,18.244244275027757,4.245401510008252,15.9744,15.9744,3.9717
38,17.906767361784635,17.906767361784635,4.202695808204441,16.7636,16.7636,4.0377
39,17.873862501693097,17.873862501693097,4.19601864941117,14.5198,14.5198,3.7999
40,16.749426371430697,16.749426371430697,4.069234554678345,15.4751,15.4751,3.9071
41,16.24549577007555,16.24549577007555,4.006714562472361,13.7686,13.7686,3.7052
42,15.901582495806968,15.901582495806968,3.9693667713323038,13.5452,13.5452,3.6677
43,15.214779801564674,15.214779801564674,3.887857431501149,13.0753,13.0753,3.6121
44,14.925720149523592,14.925720149523592,3.8569821911561917,13.3219,13.3219,3.6393
45,15.414654352893567,15.414654352893567,3.9088180268218893,14.0920,14.0920,3.7183
46,15.129343320245612,15.129343320245612,3.878391609186173,13.9368,13.9368,3.7076
47,16.50787181070406,16.50787181070406,4.036174124768838,14.2169,14.2169,3.7600
48,15.897709794240455,15.897709794240455,3.9701424699077053,14.8016,14.8016,3.8098
49,15.503406224185474,15.503406224185474,3.922071261991135,13.3482,13.3482,3.6438
50,16.121605481186958,16.121605481186958,3.9868039443331336,13.7827,13.7827,3.7058
51,16.27380921089486,16.27380921089486,4.0068759605050905,14.6201,14.6201,3.7925
52,18.232783565782523,18.232783565782523,4.233844482953085,14.5389,14.5389,3.7962
53,16.208823622089543,16.208823622089543,3.9992910756244835,13.5757,13.5757,3.6734
54,15.576831843755016,15.576831843755016,3.9325585837999744,14.5027,14.5027,3.7755
55,15.6294508110987,15.6294508110987,3.9332567443102833,13.2940,13.2940,3.6383
