epoch,train_loss,train_mse,train_rmse,val_loss,val_mse,val_rmse
1,327.5063781738281,327.5063781738281,18.088392876289987,332.3462,332.3462,18.2239
2,321.6327654864337,321.6327654864337,17.928402462521113,328.3308,328.3308,18.1138
3,317.4856088999155,317.4856088999155,17.808488021025788,327.2765,327.2765,18.0846
4,315.4789469950908,315.4789469950908,17.75545970813648,327.6675,327.6675,18.0956
5,312.67804821117505,312.67804821117505,17.66998816825248,323.6367,323.6367,17.9839
6,310.64681924355995,310.64681924355995,17.61928522264635,323.0277,323.0277,17.9666
7,309.06935160868875,309.06935160868875,17.5747364662789,318.6218,318.6218,17.8439
8,305.70606293549406,305.70606293549406,17.474296312074404,319.4678,319.4678,17.8676
9,302.7091592324747,302.7091592324747,17.390295544186152,309.2537,309.2537,17.5792
10,300.0405549745302,300.0405549745302,17.31214172775681,304.8470,304.8470,17.4542
11,298.05698209195526,298.05698209195526,17.257719246116846,303.2142,303.2142,17.4071
12,294.88515493032094,294.88515493032094,17.16660448022791,300.2406,300.2406,17.3212
13,291.6911909773543,291.6911909773543,17.071204752535433,299.7434,299.7434,17.3080
14,288.5722375818201,288.5722375818201,16.981732136494404,307.8278,307.8278,17.5394
15,285.7399683771907,285.7399683771907,16.894952438973093,289.8760,289.8760,17.0200
16,282.1228893383129,282.1228893383129,16.78850998749604,286.6859,286.6859,16.9260
17,278.5955926018792,278.5955926018792,16.682304872048867,284.0914,284.0914,16.8491
18,275.61752113136083,275.61752113136083,16.59054877306964,287.2664,287.2664,16.9438
19,271.3728971739073,271.3728971739073,16.469038190068424,281.1586,281.1586,16.7621
20,268.1934463913376,268.1934463913376,16.368852254506702,276.9267,276.9267,16.6352
21,264.902777594489,264.902777594489,16.266361391222155,266.1022,266.1022,16.3067
22,261.44705158955344,261.44705158955344,16.15902936780775,273.6328,273.6328,16.5370
23,257.9734715642156,257.9734715642156,16.053965027267868,259.6258,259.6258,16.1070
24,255.01974858464422,255.01974858464422,15.959956426878232,249.6555,249.6555,15.7946
25,252.1438173861117,252.1438173861117,15.870782877947834,263.0282,263.0282,16.2124
26,248.28582145072318,248.28582145072318,15.74873161315918,257.7285,257.7285,16.0484
27,245.95666710106102,245.95666710106102,15.67194719572325,257.4627,257.4627,16.0404
28,242.77591478502427,242.77591478502427,15.56952040904277,252.1791,252.1791,15.8733
29,239.4624217265361,239.4624217265361,15.466947916391733,276.3743,276.3743,16.6198
30,236.15003719845333,236.15003719845333,15.35821229058343,248.4823,248.4823,15.7579
31,232.72466174976245,232.72466174976245,15.244460930695405,240.0157,240.0157,15.4862
32,228.7371067356419,228.7371067356419,15.113493352322966,231.2155,231.2155,15.1990
33,226.1259126405458,226.1259126405458,15.028471173466864,238.3061,238.3061,15.4320
34,222.7548922976932,222.7548922976932,14.912893321063068,227.1351,227.1351,15.0643
35,219.22405139819995,219.22405139819995,14.796573252291292,227.3929,227.3929,15.0734
36,215.47189867174302,215.47189867174302,14.671153687142038,239.0489,239.0489,15.4557
37,213.76978776261612,213.76978776261612,14.612225377881849,209.1930,209.1930,14.4571
38,210.8905783988334,210.8905783988334,14.5128731856475,213.5349,213.5349,14.6068
39,207.8540698902027,207.8540698902027,14.410791036244985,212.9160,212.9160,14.5853
40,203.9251700736381,203.9251700736381,14.272817405494484,203.5545,203.5545,14.2608
41,201.21451135583825,201.21451135583825,14.17527827701053,201.8652,201.8652,14.2018
42,197.84418549408784,197.84418549408784,14.057608320906356,199.6895,199.6895,14.1255
43,195.60224955790753,195.60224955790753,13.976459348523939,209.1431,209.1431,14.4560
44,192.22509806864971,192.22509806864971,13.855060345417744,213.4564,213.4564,14.6045
45,188.89193478146115,188.89193478146115,13.734825160052326,192.7567,192.7567,13.8781
46,186.37913471943622,186.37913471943622,13.63795484078897,179.1061,179.1061,13.3767
47,186.76861531025654,186.76861531025654,13.657101064114958,182.3140,182.3140,13.4969
48,183.35365047970333,183.35365047970333,13.53036303133578,189.2784,189.2784,13.7531
49,179.94182318610115,179.94182318610115,13.399596240069416,177.9227,177.9227,13.3332
50,175.1363438786687,175.1363438786687,13.221819310574919,181.1855,181.1855,13.4550
51,172.04598339183912,172.04598339183912,13.108361553501439,171.1863,171.1863,13.0775
52,169.90338176005596,169.90338176005596,13.026898255219331,174.1321,174.1321,13.1899
53,167.10852669380807,167.10852669380807,12.916505530073836,176.8594,176.8594,13.2934
54,164.4700746278505,164.4700746278505,12.817149059192554,195.5425,195.5425,13.9769
55,161.77381814492716,161.77381814492716,12.709455541662267,163.0151,163.0151,12.7615
56,159.06222039300042,159.06222039300042,12.599825498220083,165.7439,165.7439,12.8676
57,156.80217433620143,156.80217433620143,12.515821405359217,161.3139,161.3139,12.6954
58,153.78765745420714,153.78765745420714,12.39347439843255,153.6577,153.6577,12.3894
59,151.04282276050463,151.04282276050463,12.282669557107461,158.5670,158.5670,12.5861
60,148.38989299052471,148.38989299052471,12.175197034268766,151.5442,151.5442,12.3044
61,145.79737008584513,145.79737008584513,12.062053268020218,151.4420,151.4420,12.3010
62,144.7740142409866,144.7740142409866,12.01823768100223,149.8599,149.8599,12.2364
63,145.3329599741343,145.3329599741343,12.043654235633644,148.7297,148.7297,12.1909
64,145.9786096521326,145.9786096521326,12.070912902419632,144.7836,144.7836,12.0271
65,138.50854038547826,138.50854038547826,11.755925694027463,152.7500,152.7500,12.3544
66,135.39535831760716,135.39535831760716,11.628155192813358,131.9997,131.9997,11.4829
67,133.04426244787268,133.04426244787268,11.519941329956055,135.1843,135.1843,11.6210
68,131.3630202009871,131.3630202009871,11.452647595792204,140.0516,140.0516,11.8263
69,127.89345880456872,127.89345880456872,11.300540202372783,137.8264,137.8264,11.7336
70,125.29083684972815,125.29083684972815,11.1823219866366,131.1586,131.1586,11.4469
71,123.06041738149283,123.06041738149283,11.086261723492596,131.6225,131.6225,11.4670
72,121.03991493018898,121.03991493018898,10.992076100529852,134.3764,134.3764,11.5859
73,118.72634537155564,118.72634537155564,10.884457794395653,122.1985,122.1985,11.0484
74,116.66051050134607,116.66051050134607,10.791549141342575,124.7273,124.7273,11.1627
75,114.44817290434966,114.44817290434966,10.689717421660552,114.1018,114.1018,10.6753
76,113.56077802503431,113.56077802503431,10.64484774099814,161.5284,161.5284,12.7024
77,112.46528006888725,112.46528006888725,10.596512047020164,126.5510,126.5510,11.2433
78,109.62357536522117,109.62357536522117,10.46113042573671,112.4758,112.4758,10.5990
79,107.90622340021906,107.90622340021906,10.378136042002085,109.0080,109.0080,10.4344
80,106.09897015545819,106.09897015545819,10.290296889640189,106.4375,106.4375,10.3111
81,104.06640501280089,104.06640501280089,10.192645227586901,113.7596,113.7596,10.6602
82,101.70182037353516,101.70182037353516,10.07528879835799,108.3730,108.3730,10.4051
83,99.89981965760927,99.89981965760927,9.983231080544961,108.0679,108.0679,10.3911
84,98.33163988268053,98.33163988268053,9.90428316270983,108.4711,108.4711,10.4097
85,95.80003047633815,95.80003047633815,9.778245384628708,98.9290,98.9290,9.9415
86,94.41777512833879,94.41777512833879,9.710888115135399,96.5126,96.5126,9.8189
87,92.78550493395007,92.78550493395007,9.626230652267868,96.5422,96.5422,9.8200
88,92.15620855382971,92.15620855382971,9.592691060659048,104.1719,104.1719,10.2001
89,90.06362461399388,90.06362461399388,9.477623552889437,91.1326,91.1326,9.5408
90,87.79075931858372,87.79075931858372,9.3603052448582,91.9905,91.9905,9.5874
91,86.27449468664221,86.27449468664221,9.279074282259554,92.3678,92.3678,9.6065
92,84.37605038204708,84.37605038204708,9.179013200708338,91.2226,91.2226,9.5460
93,82.86748473708694,82.86748473708694,9.096648551322318,93.4048,93.4048,9.6604
94,81.79217962316565,81.79217962316565,9.030314497045568,151.9592,151.9592,12.3206
95,80.52091237661001,80.52091237661001,8.96342844576449,83.5088,83.5088,9.1334
96,79.4217003487252,79.4217003487252,8.90021293227737,108.8749,108.8749,10.4311
97,81.26919844343855,81.26919844343855,9.0077151221198,86.3918,86.3918,9.2898
98,78.22738853660789,78.22738853660789,8.835072697819891,94.7893,94.7893,9.7328
99,75.13127486770217,75.13127486770217,8.656515495197192,99.6676,99.6676,9.9800
100,73.34989795169315,73.34989795169315,8.557227998166471,74.2915,74.2915,8.6136
