epoch,train_loss,train_mse,train_rmse,val_loss,val_mse,val_rmse
1,321.9019086683119,321.9019086683119,17.887091010275512,332.8128,332.8128,18.2368
2,319.2853071882918,319.2853071882918,17.85835096162483,317.8935,317.8935,17.8234
3,246.25927445695206,246.25927445695206,15.6577741896405,239.5620,239.5620,15.4733
4,207.2612040751689,207.2612040751689,14.389796455116874,226.3565,226.3565,15.0404
5,185.2458953857422,185.2458953857422,13.602633673749695,201.0297,201.0297,14.1733
6,166.45388793945312,166.45388793945312,12.89202659670222,167.6489,167.6489,12.9406
7,164.40109541609482,164.40109541609482,12.809439355243683,175.7269,175.7269,13.2503
8,156.83718006030932,156.83718006030932,12.512862079822167,192.3887,192.3887,13.8657
9,150.94330163904138,150.94330163904138,12.279464109173487,190.0619,190.0619,13.7818
10,145.82777920284786,145.82777920284786,12.066999640656526,146.6741,146.6741,12.0988
11,138.3173444593275,138.3173444593275,11.75254001756698,144.2130,144.2130,11.9970
12,137.31871321394638,137.31871321394638,11.70654758575715,149.6765,149.6765,12.2252
13,129.43797714645797,129.43797714645797,11.37030635830957,142.3891,142.3891,11.9230
14,132.8545202306799,132.8545202306799,11.511867204244389,159.8349,159.8349,12.6368
15,131.2867514120566,131.2867514120566,11.447203897686823,133.3404,133.3404,11.5348
16,126.45475954622836,126.45475954622836,11.236245293476172,161.7633,161.7633,12.7140
17,125.44112829259925,125.44112829259925,11.193514820522918,131.5539,131.5539,11.4588
18,121.70189501788165,121.70189501788165,11.02704240386821,139.9433,139.9433,11.8209
19,121.16567601384344,121.16567601384344,10.998071479033053,149.1553,149.1553,12.2067
20,120.38670679040857,120.38670679040857,10.96609970175104,149.4158,149.4158,12.2185
21,119.29146184148016,119.29146184148016,10.9143643210682,127.3612,127.3612,11.2714
22,116.6726915514147,116.6726915514147,10.796259739322881,129.5726,129.5726,11.3773
23,115.41816443365974,115.41816443365974,10.736392394202676,118.1817,118.1817,10.8621
24,111.5630827207823,111.5630827207823,10.557116484796712,122.3597,122.3597,11.0566
25,111.99654120367927,111.99654120367927,10.578304250949513,119.4731,119.4731,10.9239
26,109.18441463161159,109.18441463161159,10.443428150119605,113.5171,113.5171,10.6471
27,109.6259243939374,109.6259243939374,10.46412452420029,115.2594,115.2594,10.7327
28,108.2408546241554,108.2408546241554,10.39815931108337,108.9188,108.9188,10.4324
29,104.50086727657833,104.50086727657833,10.218537262308436,108.2487,108.2487,10.3984
30,103.23770120981577,103.23770120981577,10.156145974917251,109.2268,109.2268,10.4474
31,101.82278009363122,101.82278009363122,10.086763215483618,107.6738,107.6738,10.3721
32,100.81420919057486,100.81420919057486,10.035103828320834,109.4158,109.4158,10.4574
33,99.5820691907728,99.5820691907728,9.974426157130448,104.0539,104.0539,10.1938
34,101.3044200587917,101.3044200587917,10.057509006808692,110.0348,110.0348,10.4846
35,98.53995864455764,98.53995864455764,9.920630985459129,103.1045,103.1045,10.1473
36,95.79160556277714,95.79160556277714,9.780431953287538,101.2083,101.2083,10.0549
37,96.95064194137986,96.95064194137986,9.841232825712998,102.8053,102.8053,10.1342
38,95.13590570398279,95.13590570398279,9.74724991389672,98.3071,98.3071,9.9049
39,93.09218061292493,93.09218061292493,9.643019547768114,98.1454,98.1454,9.9038
40,92.91128560659048,92.91128560659048,9.632296459125772,96.8396,96.8396,9.8342
41,92.01272026268211,92.01272026268211,9.58528004767555,96.3678,96.3678,9.8034
42,89.47988479201858,89.47988479201858,9.450565332882029,96.0706,96.0706,9.7898
43,88.19184586808488,88.19184586808488,9.382698657888607,94.2174,94.2174,9.7014
44,90.24318241428685,90.24318241428685,9.489467363253175,98.4151,98.4151,9.9165
45,90.76826435810811,90.76826435810811,9.520090887241766,95.2541,95.2541,9.7556
46,88.40719315812395,88.40719315812395,9.395643369751298,89.7390,89.7390,9.4620
47,84.0228496242214,84.0228496242214,9.15747161680029,92.1572,92.1572,9.5955
48,84.50195972339527,84.50195972339527,9.185870149753294,89.7604,89.7604,9.4614
49,81.92610374656883,81.92610374656883,9.045913504429649,89.5608,89.5608,9.4572
50,81.8945118672139,81.8945118672139,9.041499084978586,86.6457,86.6457,9.2988
51,79.90701211465371,79.90701211465371,8.92967752769899,84.8514,84.8514,9.1957
52,78.28350397058435,78.28350397058435,8.839655171821269,83.4256,83.4256,9.1218
53,77.26845705186999,77.26845705186999,8.778016670653923,83.7350,83.7350,9.1357
54,75.61501281325882,75.61501281325882,8.68825282290167,81.0244,81.0244,8.9807
55,74.52710249617293,74.52710249617293,8.626104941158983,82.3067,82.3067,9.0609
56,75.36274451178474,75.36274451178474,8.671584527884088,85.1628,85.1628,9.2050
57,73.30620100691512,73.30620100691512,8.552907335222773,84.9556,84.9556,9.1898
58,71.4478957717483,71.4478957717483,8.440398968820363,80.1895,80.1895,8.9331
59,71.7133094168998,71.7133094168998,8.457358931401014,75.6123,75.6123,8.6816
60,70.00092315673828,70.00092315673828,8.35538221174726,74.5233,74.5233,8.6134
61,68.0182793075974,68.0182793075974,8.236831442247214,79.5195,79.5195,8.8891
62,66.9403649407464,66.9403649407464,8.169383372425653,73.6303,73.6303,8.5579
63,69.35298332008156,69.35298332008156,8.317460034025146,74.4639,74.4639,8.6069
64,66.92384843568544,66.92384843568544,8.17405908365497,72.6684,72.6684,8.4926
65,67.20853960191882,67.20853960191882,8.188326197953423,74.6618,74.6618,8.6245
66,66.05319347897091,66.05319347897091,8.115762975232984,70.7075,70.7075,8.3854
67,63.39490880192937,63.39490880192937,7.952189538094964,71.1246,71.1246,8.4085
68,64.71383099942594,64.71383099942594,8.03116021161186,74.2605,74.2605,8.5882
69,63.74966791513804,63.74966791513804,7.971088307817868,72.5055,72.5055,8.4845
70,63.810945974813926,63.810945974813926,7.979370775896522,71.2882,71.2882,8.4159
71,59.3418695604479,59.3418695604479,7.697420432935874,65.5589,65.5589,8.0652
72,59.215017473375475,59.215017473375475,7.681979766987259,65.4015,65.4015,8.0527
73,59.11557120245856,59.11557120245856,7.674193443020682,63.3264,63.3264,7.9330
74,58.504871265308275,58.504871265308275,7.637994514057831,63.5712,63.5712,7.9424
75,57.22874852773305,57.22874852773305,7.553243220340491,64.7248,64.7248,8.0133
76,56.495901056238125,56.495901056238125,7.504943976425693,62.9234,62.9234,7.9151
77,56.290229075663795,56.290229075663795,7.48999626625288,64.1593,64.1593,7.9880
78,55.62203505232527,55.62203505232527,7.447511299286037,63.5355,63.5355,7.9384
79,55.15186856244061,55.15186856244061,7.416008383712233,61.9559,61.9559,7.8385
80,53.718074489284206,53.718074489284206,7.3153159854138865,61.9745,61.9745,7.8391
81,52.434895695866764,52.434895695866764,7.229680317466015,57.2563,57.2563,7.5336
82,51.38472005483266,51.38472005483266,7.15674801809088,57.6803,57.6803,7.5655
83,52.21434701455606,52.21434701455606,7.209656674261337,63.8676,63.8676,7.9609
84,50.91039667902766,50.91039667902766,7.124820661067181,61.3841,61.3841,7.8163
85,49.48490132512273,49.48490132512273,7.020147520808065,54.6061,54.6061,7.3594
86,48.15582512520455,48.15582512520455,6.928006072798484,59.6748,59.6748,7.6842
87,50.70785986410605,50.70785986410605,7.108048254728365,59.1206,59.1206,7.6523
88,48.987892357078756,48.987892357078756,6.985290563201082,58.3886,58.3886,7.6050
89,46.503516944679056,46.503516944679056,6.807656958318606,55.4124,55.4124,7.4191
90,46.26651681436075,46.26651681436075,6.794011786647722,52.7258,52.7258,7.2288
91,44.52218813509555,44.52218813509555,6.661408005668113,52.5105,52.5105,7.2161
92,46.00060200046848,46.00060200046848,6.772884241439261,57.2274,57.2274,7.5360
93,46.30370062750739,46.30370062750739,6.795197957347573,50.3690,50.3690,7.0656
94,43.73498710426124,43.73498710426124,6.599507380973127,52.8083,52.8083,7.2333
95,41.83849767736486,41.83849767736486,6.457888412139187,48.7402,48.7402,6.9583
96,43.679465628959036,43.679465628959036,6.594019461508825,51.3410,51.3410,7.1321
97,41.92088823060732,41.92088823060732,6.459739979051944,47.6898,47.6898,6.8805
98,41.70367142960832,41.70367142960832,6.4441397628069605,55.3658,55.3658,7.3981
99,43.92716330450934,43.92716330450934,6.614074447575618,48.4431,48.4431,6.9301
100,44.25030579438081,44.25030579438081,6.640853010708561,48.5823,48.5823,6.9430
101,42.32374500583958,42.32374500583958,6.497548396453695,47.9517,47.9517,6.9043
102,41.012534992114915,41.012534992114915,6.396547249042939,45.5542,45.5542,6.7252
103,39.14461331754117,39.14461331754117,6.248667389987146,44.8532,44.8532,6.6652
104,38.535995895798145,38.535995895798145,6.200801023414229,45.1678,45.1678,6.6964
105,37.89199334221917,37.89199334221917,6.144710985025529,42.8920,42.8920,6.5275
106,37.9579355394518,37.9579355394518,6.147272454199594,42.9557,42.9557,6.5260
107,39.73926817404257,39.73926817404257,6.289412895522676,41.8619,41.8619,6.4410
108,38.070404362034154,38.070404362034154,6.160343218750558,46.2424,46.2424,6.7745
